Manufacturer_Name,Coil_Name,Primary_Diameter_inch,Primary_Diameter_mm,Secondary_Diameter_mm,Length_cm,Volume_mm^3,(azur)Primary_Diameter_inch,(azur)Primary_Diameter_mm,(azur)Volume_mm^3,Min_Compatible_Catheter_Lumen_inch
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1,1,0.613 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1,2,1.226 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1,3,1.839 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1.5,1,0.613 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1.5,2,1.226 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1.5,3,1.839 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1.5,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,1.5,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,1,0.613 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,2,1.226 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,3,1.839 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2.5,2,1.226 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2.5,3,1.839 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2.5,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2.5,5,3.066 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,2.5,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,3,3,1.839 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,3,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,3,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,3,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(~3mm),0.011,0.2794,3,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,3.5,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,3.5,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,3.5,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,3.5,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,4,2.452 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,7,4.292 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,13,7.971 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,15,9.197 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4,20,12.262 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4.5,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4.5,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,4.5,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,15,9.197 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,17,10.423 ,,,,0.017
Wallaby Medical,Avenir(3.5~5mm),0.011,0.2794,5,20,12.262 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,6,3.679 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,8,4.905 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,10,6.131 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,11,6.744 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,15,9.197 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,20,12.262 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,6,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,7,13,7.971 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,7,15,9.197 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,7,20,12.262 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,7,24,14.715 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,7,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,8,16,9.810 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,8,20,12.262 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,8,27,16.554 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,8,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,9,23,14.102 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,9,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,10,27,16.554 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,10,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,10,34,20.846 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,11,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,12,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,13,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,14,30,18.393 ,,,,0.017
Wallaby Medical,Avenir(6~15mm),0.011,0.2794,15,30,18.393 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,6,16,17.046 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,7,19,20.242 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,8,27,28.765 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,9,30,31.961 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,10,34,36.222 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,11,37,39.418 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,12,40,42.614 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,13,43,45.810 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,14,47,50.072 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,15,50,53.268 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,16,50,53.268 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,18,50,53.268 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,20,50,53.268 ,,,,0.017
Wallaby Medical,Meganir,0.0145,0.3683,22,50,53.268 ,,,,0.017
